fpr,tpr,threshold,sample_label
0.0,0.0,inf,sensitivity_score_le_5
0.2315369261477046,0.7724891316464162,1.0,sensitivity_score_le_5
0.2315369261477046,0.7725448667929997,0.9772727272727272,sensitivity_score_le_5
0.2315369261477046,0.7726006019395831,0.9761904761904762,sensitivity_score_le_5
0.2315369261477046,0.7726563370861665,0.975609756097561,sensitivity_score_le_5
0.2315369261477046,0.77271207223275,0.9736842105263158,sensitivity_score_le_5
0.2315369261477046,0.7728792776725003,0.9722222222222222,sensitivity_score_le_5
0.2315369261477046,0.7729350128190837,0.9714285714285714,sensitivity_score_le_5
0.2315369261477046,0.7729907479656671,0.9705882352941176,sensitivity_score_le_5
0.2315369261477046,0.7731022182588341,0.9696969696969696,sensitivity_score_le_5
0.2315369261477046,0.7732136885520009,0.967741935483871,sensitivity_score_le_5
0.23171049205935954,0.7733251588451677,0.9666666666666668,sensitivity_score_le_5
0.23171049205935954,0.7736595697246684,0.9655172413793104,sensitivity_score_le_5
0.23171049205935954,0.7739382454575856,0.9642857142857144,sensitivity_score_le_5
0.23179727501518702,0.7743283914836696,0.9629629629629628,sensitivity_score_le_5
0.23179727501518702,0.7745513320700034,0.9615384615384616,sensitivity_score_le_5
0.23197084092684198,0.7748300078029206,0.96,sensitivity_score_le_5
0.23205762388266946,0.7749972132426708,0.9583333333333334,sensitivity_score_le_5
0.23205762388266946,0.7755545647085051,0.9565217391304348,sensitivity_score_le_5
0.23205762388266946,0.7760004458811727,0.9545454545454546,sensitivity_score_le_5
0.2322311897943244,0.7763905919072567,0.9523809523809524,sensitivity_score_le_5
0.23249153866180683,0.7771708839594248,0.95,sensitivity_score_le_5
0.23283867048511672,0.7783413220376769,0.9473684210526316,sensitivity_score_le_5
0.23283867048511672,0.7783970571842604,0.945945945945946,sensitivity_score_le_5
0.2332725852642541,0.779233084383012,0.9444444444444444,sensitivity_score_le_5
0.23379328299921895,0.7802920521680972,0.9411764705882352,sensitivity_score_le_5
0.23474789551332118,0.7812395496600156,0.9375,sensitivity_score_le_5
0.23474789551332118,0.781295284806599,0.935483870967742,sensitivity_score_le_5
0.2353553762041135,0.7825214580314346,0.9333333333333332,sensitivity_score_le_5
0.235442159159941,0.7826329283246015,0.9310344827586208,sensitivity_score_le_5
0.23630998871821574,0.7843049827221046,0.9285714285714286,sensitivity_score_le_5
0.23630998871821574,0.784360717868688,0.925925925925926,sensitivity_score_le_5
