sample_label,n_obs,n_firms,n_years,n_actual_increase,n_actual_decrease_or_equal,actual_increase_rate,mean_score,median_score,auc,accuracy_cutoff_0p5,predicted_increase_rate_cutoff_0p5
main_score_le_2_consensus_median,29465,4503,19,17942,11523,0.6089258442219583,0.6600033938571186,1.0,0.7757168825004535,0.7974885457322247,0.6600033938571186
sensitivity_score_le_5_consensus_median,29465,4503,19,17942,11523,0.6089258442219583,0.6600033938571186,1.0,0.7757168825004535,0.7974885457322247,0.6600033938571186
sensitivity_score_le_6_consensus_median,29465,4503,19,17942,11523,0.6089258442219583,0.6600033938571186,1.0,0.7757168825004535,0.7974885457322247,0.6600033938571186
