sample_label,fyear,n_obs,n_firms,n_years,n_actual_increase,n_actual_decrease_or_equal,actual_increase_rate,mean_score,median_score,auc,accuracy_cutoff_0p5,predicted_increase_rate_cutoff_0p5
main_score_le_2,2005,1423,1423,1,995,428,0.6992269852424455,0.796000368948641,1.0,0.7515545014793594,0.7983134223471539,0.7955024595924104
main_score_le_2,2006,1427,1427,1,810,617,0.5676243868255081,0.6840364359427151,1.0,0.7759669447946055,0.7652417659425368,0.6720392431674842
main_score_le_2,2007,1428,1428,1,655,773,0.4586834733893557,0.628781363236343,1.0,0.8190681690252116,0.7703081232492998,0.6183473389355743
main_score_le_2,2008,1493,1493,1,616,877,0.4125920964501005,0.3731491126824717,0.0,0.8384073879370345,0.8151373074346953,0.3643670462156731
main_score_le_2,2009,1508,1508,1,1085,423,0.7194960212201591,0.7407735422352167,1.0,0.8283513634234293,0.8421750663129973,0.7354111405835544
main_score_le_2,2010,1420,1420,1,993,427,0.6992957746478873,0.7652704262656003,1.0,0.7927471221265486,0.8140845070422535,0.7584507042253521
main_score_le_2,2011,1637,1637,1,987,650,0.6029321930360415,0.7092005942592701,1.0,0.7968880056114098,0.7855833842394624,0.6963958460598656
main_score_le_2,2012,1637,1637,1,1043,594,0.6371411117898595,0.6976670951369304,1.0,0.8179017725997592,0.8094074526573,0.6823457544288333
main_score_le_2,2013,1624,1624,1,1058,566,0.6514778325123153,0.7294414504747576,1.0,0.7823064385766865,0.7887931034482759,0.7222906403940886
main_score_le_2,2014,1626,1626,1,894,732,0.5498154981549815,0.6304471729271013,1.0,0.8137026136599798,0.7847478474784748,0.6125461254612546
main_score_le_2,2015,1611,1611,1,980,631,0.6083178150217257,0.634241574601534,1.0,0.7972783725217504,0.7790192427063936,0.617008069522036
main_score_le_2,2016,1579,1579,1,1075,504,0.6808106396453452,0.735253885713047,1.0,0.789609634551495,0.8176060797973401,0.7314756174794174
main_score_le_2,2017,1578,1578,1,1198,380,0.7591888466413181,0.8138314360042187,1.0,0.7856756875494245,0.8409378960709759,0.8092522179974652
main_score_le_2,2018,1550,1550,1,910,640,0.5870967741935483,0.6637506888578548,1.0,0.7777335164835165,0.7761290322580645,0.652258064516129
main_score_le_2,2019,1782,1782,1,780,1002,0.4377104377104377,0.2744665294162447,0.0,0.7310436818670352,0.7065095398428731,0.25196408529741865
main_score_le_2,2020,1603,1603,1,1287,316,0.8028696194635059,0.8016099452460669,1.0,0.7791793298122413,0.8452900810979413,0.8028696194635059
main_score_le_2,2021,1578,1578,1,917,661,0.5811153358681875,0.6156250585466403,1.0,0.8038265276661877,0.788339670468948,0.6013941698352345
main_score_le_2,2022,1553,1553,1,811,742,0.5222150676110754,0.5581591948397204,0.8461538461538461,0.8331275487651264,0.8042498390212492,0.5466838377334192
main_score_le_2,2023,1408,1408,1,848,560,0.6022727272727273,0.6291163719747476,1.0,0.8150490650269542,0.8075284090909091,0.6285511363636364
sensitivity_score_le_5,2005,1423,1423,1,995,428,0.6992269852424455,0.796000368948641,1.0,0.7515545014793594,0.7983134223471539,0.7955024595924104
sensitivity_score_le_5,2006,1427,1427,1,810,617,0.5676243868255081,0.6840364359427151,1.0,0.7759669447946055,0.7652417659425368,0.6720392431674842
sensitivity_score_le_5,2007,1428,1428,1,655,773,0.4586834733893557,0.628781363236343,1.0,0.8190681690252116,0.7703081232492998,0.6183473389355743
sensitivity_score_le_5,2008,1493,1493,1,616,877,0.4125920964501005,0.3731491126824717,0.0,0.8384073879370345,0.8151373074346953,0.3643670462156731
sensitivity_score_le_5,2009,1508,1508,1,1085,423,0.7194960212201591,0.7407735422352167,1.0,0.8283513634234293,0.8421750663129973,0.7354111405835544
sensitivity_score_le_5,2010,1420,1420,1,993,427,0.6992957746478873,0.7652704262656003,1.0,0.7927471221265486,0.8140845070422535,0.7584507042253521
sensitivity_score_le_5,2011,1637,1637,1,987,650,0.6029321930360415,0.7092005942592701,1.0,0.7968880056114098,0.7855833842394624,0.6963958460598656
sensitivity_score_le_5,2012,1637,1637,1,1043,594,0.6371411117898595,0.6976670951369304,1.0,0.8179017725997592,0.8094074526573,0.6823457544288333
sensitivity_score_le_5,2013,1624,1624,1,1058,566,0.6514778325123153,0.7294414504747576,1.0,0.7823064385766865,0.7887931034482759,0.7222906403940886
sensitivity_score_le_5,2014,1626,1626,1,894,732,0.5498154981549815,0.6304471729271013,1.0,0.8137026136599798,0.7847478474784748,0.6125461254612546
sensitivity_score_le_5,2015,1611,1611,1,980,631,0.6083178150217257,0.634241574601534,1.0,0.7972783725217504,0.7790192427063936,0.617008069522036
sensitivity_score_le_5,2016,1579,1579,1,1075,504,0.6808106396453452,0.735253885713047,1.0,0.789609634551495,0.8176060797973401,0.7314756174794174
sensitivity_score_le_5,2017,1578,1578,1,1198,380,0.7591888466413181,0.8138314360042187,1.0,0.7856756875494245,0.8409378960709759,0.8092522179974652
sensitivity_score_le_5,2018,1550,1550,1,910,640,0.5870967741935483,0.6637506888578548,1.0,0.7777335164835165,0.7761290322580645,0.652258064516129
sensitivity_score_le_5,2019,1782,1782,1,780,1002,0.4377104377104377,0.2744665294162447,0.0,0.7310436818670352,0.7065095398428731,0.25196408529741865
sensitivity_score_le_5,2020,1603,1603,1,1287,316,0.8028696194635059,0.8016099452460669,1.0,0.7791793298122413,0.8452900810979413,0.8028696194635059
sensitivity_score_le_5,2021,1578,1578,1,917,661,0.5811153358681875,0.6156250585466403,1.0,0.8038265276661877,0.788339670468948,0.6013941698352345
