group,n_firmyears,n_firms,at_mean,at_median,prcc_f_mean,prcc_f_median
included_in_AUC_sample,29465,4503,27766.4,2917.47,49.08,27.99
excluded_from_AUC,20937,4549,21158.51,533.44,66.58,12.95
